algorithm name,Avg similitude 1,Avg similitude 2
direct-gemini-1.5-flash,0.21587220532803597,0.18916036843059633
direct-gemini-1.5-pro,0.2169238195968396,0.19518300418313955
direct-gpt-3.5-turbo,0.23223720452251612,0.21717177924285647
direct-gpt-4o,0.23216111538842593,0.17369692872851716
direct-llama3-70b-instruct,0.22467711778816815,0.1787763865763548
flow-gemini-1.5-flash,0.2080107848528207,0.27035451674461386
flow-gemini-1.5-pro,0.22455123450101455,0.2647897960655777
flow-gpt-3.5-turbo,0.21904275982840374,0.2720069607934543
flow-gpt-4o,0.23103173509976027,0.2360410191833685
flow-llama3-70b-instruct,0.22637843581485592,0.2651280130587906
